name,address,都道府県,school_type
滋賀大学教育学部附属中学校,滋賀県大津市昭和町１０－３,滋賀県,国立
京都教育大学附属桃山中学校,京都府京都市伏見区桃山井伊掃部東町１６番地,京都府,国立
京都教育大学附属京都小中学校,京都府京都市北区紫野東御所田町３７番地,京都府,国立
大阪教育大学附属天王寺中学校,大阪府大阪市天王寺区南河堀町４－８８,大阪府,国立
大阪教育大学附属平野中学校,大阪府大阪市平野区流町２－１－２４,大阪府,国立
大阪教育大学附属池田中学校,大阪府池田市緑丘１－５－１,大阪府,国立
兵庫教育大学附属中学校,兵庫県加東市山国２００７－１０９,兵庫県,国立
奈良教育大学附属中学校,奈良県奈良市法蓮町２０５８－２,奈良県,国立
和歌山大学教育学部附属中学校,和歌山県和歌山市吹上１－４－１,和歌山,国立
鳥取大学附属中学校,鳥取県鳥取市湖山町南４－１０１,鳥取県,国立
岡山大学教育学部附属中学校,岡山県岡山市中区東山２－１３－８０,岡山県,国立
広島大学附属中学校,広島県広島市南区翠１－１－１,広島県,国立
広島大学附属東雲中学校,広島県広島市南区東雲３－１－３３,広島県,国立
広島大学附属三原中学校,広島県三原市館町２－６－１,広島県,国立
広島大学附属福山中学校,広島県福山市春日町５－１４－１,広島県,国立
山口大学教育学部附属山口中学校,山口県山口市白石１丁目９－１,山口県,国立
山口大学教育学部附属光中学校,山口県光市室積８－４－１,山口県,国立
鳴門教育大学附属中学校,徳島県徳島市中吉野町１－３１,徳島県,国立
香川大学教育学部附属高松中学校,香川県高松市鹿角町３９４,香川県,国立
香川大学教育学部附属坂出中学校,香川県坂出市青葉町１－７,香川県,国立
愛媛大学教育学部附属中学校,愛媛県松山市持田町１－５－２２,愛媛県,国立
高知大学教育学部附属中学校,高知県高知市小津町１０－９１,高知県,国立
福岡教育大学附属福岡中学校,福岡県福岡市中央区西公園１２－１,福岡県,国立
福岡教育大学附属小倉中学校,福岡県北九州市小倉北区下富野３－１２－１,福岡県,国立
福岡教育大学附属久留米中学校,福岡県久留米市南１－３－１,福岡県,国立
佐賀大学教育学部附属中学校,佐賀県佐賀市城内１－１４－４,佐賀県,国立
長崎大学教育学部附属中学校,長崎県長崎市文教町４－２３,長崎県,国立
熊本大学教育学部附属中学校,熊本県熊本市中央区京町本丁５－１２,熊本県,国立
大分大学教育学部附属中学校,大分県大分市王子新町１－１,大分県,国立
宮崎大学教育学部附属中学校,宮崎県宮崎市花殿町７番６７号,宮崎県,国立
鹿児島大学教育学部附属中学校,鹿児島県鹿児島市郡元１－２０－３５,鹿児島,国立
琉球大学教育学部附属中学校,沖縄県中頭郡西原町千原１番地,沖縄県,国立
北海道教育大学附属札幌中学校,北海道札幌市北区あいの里５－３－１－１１,北海道,国立
北海道教育大学附属函館中学校,北海道函館市美原３－４８－６,北海道,国立
北海道教育大学附属旭川中学校,北海道旭川市春光４－２－１－１,北海道,国立
北海道教育大学附属釧路中学校,北海道釧路市桜ヶ岡７－１２－２,北海道,国立
弘前大学教育学部附属中学校,青森県弘前市学園町１－１,青森県,国立
岩手大学教育学部附属中学校,岩手県盛岡市加賀野３－９－１,岩手県,国立
宮城教育大学附属中学校,宮城県仙台市青葉区上杉６－４－１,宮城県,国立
秋田大学教育文化学部附属中学校,秋田県秋田市保戸野原の町７－７５,秋田県,国立
山形大学附属中学校,山形県山形市松波２－７－３,山形県,国立
福島大学附属中学校,福島県福島市浜田町１２－２６,福島県,国立
茨城大学教育学部附属中学校,茨城県水戸市文京１－３－３２,茨城県,国立
宇都宮大学共同教育学部附属中学校,栃木県宇都宮市松原１－７－３８,栃木県,国立
群馬大学共同教育学部附属中学校,群馬県前橋市上沖町６１２,群馬県,国立
埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所４－２－５,埼玉県,国立
千葉大学教育学部附属中学校,千葉県千葉市稲毛区弥生町１－３３,千葉県,国立
東京学芸大学附属世田谷中学校,東京都世田谷区深沢４－３－１,東京都,国立
東京学芸大学附属竹早中学校,東京都文京区小石川４－２－１,東京都,国立
東京学芸大学附属小金井中学校,東京都小金井市貫井北町４－１－１,東京都,国立
筑波大学附属中学校,東京都文京区大塚１－９－１,東京都,国立
筑波大学附属駒場中学校,東京都世田谷区池尻４－７－１,東京都,国立
お茶の水女子大学附属中学校,東京都文京区大塚２－１－１,東京都,国立
横浜国立大学教育学部附属鎌倉中学校,神奈川県鎌倉市雪ノ下３－５－１０,神奈川,国立
横浜国立大学教育学部附属横浜中学校,神奈川県横浜市南区大岡２－３１－３,神奈川,国立
新潟大学附属新潟中学校,新潟県新潟市中央区西大畑町５２１４番地,新潟県,国立
新潟大学附属長岡中学校,新潟県長岡市学校町１丁目１番１号,新潟県,国立
上越教育大学附属中学校,新潟県上越市本城町６－２,新潟県,国立
富山大学教育学部附属中学校,富山県富山市五艘１３００,富山県,国立
金沢大学人間社会学域学校教育学類附属中学校,石川県金沢市平和町１－１－１５,石川県,国立
山梨大学教育学部附属中学校,山梨県甲府市北新１－４－２,山梨県,国立
信州大学教育学部附属長野中学校,長野県長野市南堀１０９,長野県,国立
信州大学教育学部附属松本中学校,長野県松本市桐１－３－１,長野県,国立
岐阜大学教育学部附属小中学校,岐阜県岐阜市加納大手町７４番地,岐阜県,国立
静岡大学教育学部附属静岡中学校,静岡県静岡市葵区駿府町１－８６,静岡県,国立
静岡大学教育学部附属浜松中学校,静岡県浜松市中央区布橋３－２－２,静岡県,国立
静岡大学教育学部附属島田中学校,静岡県島田市中河町１６９,静岡県,国立
名古屋大学教育学部附属中学校,愛知県名古屋市千種区不老町,愛知県,国立
愛知教育大学附属岡崎中学校,愛知県岡崎市明大寺町栗林１,愛知県,国立
愛知教育大学附属名古屋中学校,愛知県名古屋市東区大幸南１－１２６,愛知県,国立
三重大学教育学部附属中学校,三重県津市観音寺町４７１,三重県,国立
